"State","Democratic Votes","Democratic Percentage","Democratic Electoral Votes","Republican Votes","Republican Percentage","Republican Electoral Votes","Other Votes","Other Percentage","Other Notes","Margin","Margin Percentage","Turnout"
"Nebraska's 2nd district",139555,45.11%,-,164207,53.03%,-,6396,2.06%,-,-24652,-7.95%,309576
"Nebraska's 3rd district",80374,32.72%,-,166105,67.53%,1,2887,1.17%,-,-85731,-34.87%,245660
"Nevada",705431,48.14%,-,734356,50.08%,6,26197,1.79%,-,-28925,-1.97%,1465284
"New Hampshire",424921,52.27%,4,371501,45.69%,-,11963,1.47%,-,53420,6.57%,812897
"New Jersey",2413357,58.12%,14,1657370,39.92%,-,59462,1.43%,-,755987,18.20%,4153651
"New Mexico",501614,54.32%,5,402952,43.63%,-,16020,1.73%,-,98662,10.68%,923202
"New York",5473162,62.28%,29,3092746,35.21%,-,140289,1.60%,-,2380416,27.08%,8789576
"North Carolina",2387773,46.82%,-,2621292,51.39%,15,68844,1.35%,-,-233519,-4.58%,5097417
"North Dakota",114902,31.45%,-,242039,66.25%,3,5326,1.46%,-,-127137,-34.80%,365390
"Ohio",2658688,46.18%,-,3025707,52.63%,18,60833,1.06%,-,-367019,-6.38%,5760299
"Oklahoma",503152,34.09%,-,939884,63.69%,7,28193,1.91%,-,-436732,-29.61%,1477179
"Oregon",1341678,55.79%,7,1002927,41.72%,-,35591,1.48%,-,338751,14.08%,2404074
"Pennsylvania",3243580,47.51%,-,3495694,51.20%,20,74824,1.10%,-,-252114,-3.69%,6829144
"Rhode Island",312492,64.40%,4,161504,33.33%,-,5492,1.13%,-,150988,31.08%,484842
"South Carolina",1044861,41.47%,-,1433476,56.95%,9,33849,1.34%,-,-388615,-15.47%,2519006
"South Dakota",150543,35.79%,-,262443,62.40%,3,7329,1.74%,-,-111900,-26.58%,420513
"Tennessee",1152276,36.84%,-,1921345,61.47%,11,30176,0.96%,-,-769069,-24.62%,3128192
"Texas",5081867,43.53%,-,6442795,55.19%,38,144487,1.24%,-,-1360928,-11.66%,11673254
"Utah",560717,37.11%,-,913014,60.39%,6,34699,2.30%,-,-352297,-23.29%,1510627
"Vermont",242820,66.43%,3,113171,30.96%,-,5015,1.37%,-,129649,35.48%,365460
"Virginia",2403008,56.53%,13,1764315,41.50%,-,48225,1.13%,-,638693,15.02%,4250126
"Washington",2177505,60.24%,12,1339775,37.06%,-,60592,1.67%,-,837730,23.16%,3616326
"West Virginia",233475,30.45%,-,521816,68.05%,5,10315,1.34%,-,-288341,-37.61%,762258
"Wisconsin",1677685,47.23%,-,1822538,51.35%,10,53672,1.51%,-,-144853,-4.08%,3554411
"Wyoming",69247,27.07%,-,183263,71.63%,3,4077,1.59%,-,-114016,-44.56%,255854
